HivePath,HiveType,Description,Category,KeyPath,ValueName,ValueType,ValueData,ValueData2,ValueData3,Comment,Recursive,Deleted,LastWriteTimestamp,PluginDetailFile
./registry_dir/registry.0xfffff8a0012bc410.ntuserdat.reg,NtUser,System Info (Current),System Info,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows Media\WMSDK\General,ComputerName,RegSz,WIN-TBJN73HR3NM,,,Name of computer used by the user,False,False,2025-02-04 13:16:49.3676354,
./registry_dir/registry.0xfffff8a0012bc410.ntuserdat.reg,NtUser,MountPoints2,Devices,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\MountPoints2,,,,,,Mount Points - NTUSER,True,False,2025-02-04 13:32:47.5138131,
./registry_dir/registry.0xfffff8a0012bc410.ntuserdat.reg,NtUser,MountPoints2,Devices,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\MountPoints2\CPC,,,,,,Mount Points - NTUSER,True,False,2025-02-04 13:16:42.2384229,
./registry_dir/registry.0xfffff8a0012bc410.ntuserdat.reg,NtUser,MountPoints2,Devices,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\MountPoints2\CPC\Volume,,,,,,Mount Points - NTUSER,True,False,2025-02-04 13:49:29.8660048,
./registry_dir/registry.0xfffff8a0012bc410.ntuserdat.reg,NtUser,MountPoints2,Devices,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\MountPoints2\{ffd60ae5-e37f-11ef-9b8c-806e6f6e6963},,,,,,Mount Points - NTUSER,True,False,2025-02-04 13:32:47.5118130,
./registry_dir/registry.0xfffff8a0012bc410.ntuserdat.reg,NtUser,MountPoints2,Devices,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\MountPoints2\{ffd60ae8-e37f-11ef-9b8c-806e6f6e6963},,,,,,Mount Points - NTUSER,True,False,2025-02-04 13:32:47.5138131,
./registry_dir/registry.0xfffff8a0012bc410.ntuserdat.reg,NtUser,AppCompatFlags,Program Execution,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags,Multiple,(plugin),Path: C:\Users\User\Desktop\Exterro_FTK_Imager_(x64)-4.7.3.81.exe,,,Displays programs that are configured to run in Compatibility Mode in Windows,False,False,2025-02-04 13:53:50.2563998,./recmd_out/20250311152801\20250311152801_AppCompatFlags2_./registry_dir/registry.0xfffff8a0012bc410.ntuserdat.reg.csv
./registry_dir/registry.0xfffff8a0012bc410.ntuserdat.reg,NtUser,AppCompatFlags,Program Execution,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags,Multiple,(plugin),Path: C:\Users\User\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\G8XMMLSF\dotNetFx40_Client_x86_x64[1].exe,,,Displays programs that are configured to run in Compatibility Mode in Windows,False,False,2025-02-04 13:53:50.2563998,./recmd_out/20250311152801\20250311152801_AppCompatFlags2_./registry_dir/registry.0xfffff8a0012bc410.ntuserdat.reg.csv
./registry_dir/registry.0xfffff8a0012bc410.ntuserdat.reg,NtUser,CIDSizeMRU,Program Execution,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\CIDSizeMRU,0,(plugin),MRCv120.exe,Opened: 2025-02-04 16:26:17.5097858,Mru: 0,"Recently ran applications, lower MRU # (Value Data3) = more recent",False,False,2025-02-04 16:26:17.5097858,./recmd_out/20250311152801\20250311152801_CIDSizeMRU_./registry_dir/registry.0xfffff8a0012bc410.ntuserdat.reg.csv
./registry_dir/registry.0xfffff8a0012bc410.ntuserdat.reg,NtUser,UserAssist,Program Execution,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.Jvaqbjf.TrggvatFgnegrq,(plugin),Microsoft.Windows.GettingStarted,Last executed: 2025-02-04 13:15:05.3942590,Run count: 14,GUI-based programs launched from the desktop,False,False,2025-02-04 16:26:33.9567265,./recmd_out/20250311152801\20250311152801_UserAssist_./registry_dir/registry.0xfffff8a0012bc410.ntuserdat.reg.csv
