HivePath,HiveType,Description,Category,KeyPath,ValueName,ValueType,ValueData,ValueData2,ValueData3,Comment,Recursive,Deleted,LastWriteTimestamp,PluginDetailFile
./registry_dir/registry.0xfffff8a00aa4f010.UsrClassdat.reg,UsrClass,MuiCache (Vista+),Program Execution,S-1-5-21-4155376174-509444641-1072743315-1000_Classes\Local Settings\Software\Microsoft\Windows\Shell\MuiCache,LangID,RegBinary,(Binary data),,,Displays new applications that have been executed within Windows,False,False,2025-02-04 15:18:37.3708783,
./registry_dir/registry.0xfffff8a00aa4f010.UsrClassdat.reg,UsrClass,MuiCache (Vista+),Program Execution,S-1-5-21-4155376174-509444641-1072743315-1000_Classes\Local Settings\Software\Microsoft\Windows\Shell\MuiCache,C:\Windows\System32\fsquirt.exe,RegSz,fsquirt,,,Displays new applications that have been executed within Windows,False,False,2025-02-04 15:18:37.3708783,
./registry_dir/registry.0xfffff8a00aa4f010.UsrClassdat.reg,UsrClass,MuiCache (Vista+),Program Execution,S-1-5-21-4155376174-509444641-1072743315-1000_Classes\Local Settings\Software\Microsoft\Windows\Shell\MuiCache,C:\Windows\system32\WFS.exe,RegSz,Microsoft  Windows Fax and Scan,,,Displays new applications that have been executed within Windows,False,False,2025-02-04 15:18:37.3708783,
./registry_dir/registry.0xfffff8a00aa4f010.UsrClassdat.reg,UsrClass,MuiCache (Vista+),Program Execution,S-1-5-21-4155376174-509444641-1072743315-1000_Classes\Local Settings\Software\Microsoft\Windows\Shell\MuiCache,C:\Program Files\AccessData\FTK Imager\FTK Imager.exe,RegSz,FTK Imager,,,Displays new applications that have been executed within Windows,False,False,2025-02-04 15:18:37.3708783,
