Path,BatchKeyPath,BatchValueName
C:\Users\User\Desktop\Exterro_FTK_Imager_(x64)-4.7.3.81.exe,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Users\User\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\G8XMMLSF\dotNetFx40_Client_x86_x64[1].exe,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
